country,date,dailySumMWh
AT,2006-01-01,145451.0
AT,2006-01-02,176630.0
AT,2006-01-03,179083.0
AT,2006-01-04,179265.0
AT,2006-01-05,178663.0
AT,2006-01-06,154148.0
AT,2006-01-07,156047.0
AT,2006-01-08,150349.0
AT,2006-01-09,182307.0
AT,2006-01-10,189319.0
AT,2006-01-11,193458.0
AT,2006-01-12,193175.0
AT,2006-01-13,193480.0
AT,2006-01-14,172959.0
AT,2006-01-15,159382.0
AT,2006-01-16,193152.0
AT,2006-01-17,198044.0
AT,2006-01-18,194236.0
AT,2006-01-19,190798.0
AT,2006-01-20,188488.0
AT,2006-01-21,167687.0
AT,2006-01-22,156545.0
AT,2006-01-23,192528.0
AT,2006-01-24,197142.0
AT,2006-01-25,200054.0
AT,2006-01-26,200006.0
AT,2006-01-27,194617.0
AT,2006-01-28,175385.0
AT,2006-01-29,161638.0
AT,2006-01-30,193308.0
AT,2006-01-31,193829.0
AT,2006-02-01,192292.0
AT,2006-02-02,193218.0
AT,2006-02-03,190509.0
AT,2006-02-04,172203.0
AT,2006-02-05,159116.0
AT,2006-02-06,189208.0
AT,2006-02-07,195081.0
AT,2006-02-08,191492.0
AT,2006-02-09,189887.0
AT,2006-02-10,184994.0
AT,2006-02-11,167189.0
AT,2006-02-12,156331.0
AT,2006-02-13,185833.0
AT,2006-02-14,187109.0
AT,2006-02-15,189445.0
AT,2006-02-16,188118.0
AT,2006-02-17,183562.0
AT,2006-02-18,162779.0
AT,2006-02-19,146938.0
AT,2006-02-20,178974.0
AT,2006-02-21,180504.0
AT,2006-02-22,182491.0
AT,2006-02-23,183176.0
AT,2006-02-24,182992.0
AT,2006-02-25,164676.0
AT,2006-02-26,152215.0
AT,2006-02-27,184645.0
AT,2006-02-28,186289.0
AT,2006-03-01,187950.0
AT,2006-03-02,186694.0
AT,2006-03-03,183491.0
AT,2006-03-04,164759.0
AT,2006-03-05,153540.0
AT,2006-03-06,182901.0
AT,2006-03-07,184033.0
AT,2006-03-08,186228.0
AT,2006-03-09,185311.0
AT,2006-03-10,182027.0
AT,2006-03-11,160522.0
AT,2006-03-12,152057.0
AT,2006-03-13,182576.0
AT,2006-03-14,185509.0
AT,2006-03-15,185377.0
AT,2006-03-16,183597.0
AT,2006-03-17,180211.0
AT,2006-03-18,160001.0
AT,2006-03-19,144441.0
AT,2006-03-20,172320.0
AT,2006-03-21,174277.0
AT,2006-03-22,174694.0
AT,2006-03-23,175407.0
AT,2006-03-24,172290.0
AT,2006-03-25,151103.0
AT,2006-03-26,131014.0
AT,2006-03-27,162374.0
AT,2006-03-28,167583.0
AT,2006-03-29,167214.0
AT,2006-03-30,164542.0
AT,2006-03-31,161847.0
AT,2006-04-01,140481.0
AT,2006-04-02,127285.0
AT,2006-04-03,162710.0
AT,2006-04-04,163687.0
AT,2006-04-05,166804.0
AT,2006-04-06,169880.0
AT,2006-04-07,163365.0
AT,2006-04-08,142862.0
AT,2006-04-09,127937.0
AT,2006-04-10,159297.0
AT,2006-04-11,169800.0
AT,2006-04-12,167722.0
AT,2006-04-13,168893.0
AT,2006-04-14,162421.0
AT,2006-04-15,136482.0
AT,2006-04-16,121883.0
AT,2006-04-17,121142.0
AT,2006-04-18,157006.0
AT,2006-04-19,158041.0
AT,2006-04-20,157228.0
AT,2006-04-21,152044.0
AT,2006-04-22,131090.0
AT,2006-04-23,117727.0
AT,2006-04-24,148800.0
AT,2006-04-25,150824.0
AT,2006-04-26,151308.0
AT,2006-04-27,152953.0
AT,2006-04-28,151570.0
AT,2006-04-29,131760.0
AT,2006-04-30,118784.0
AT,2006-05-01,121052.0
AT,2006-05-02,152922.0
AT,2006-05-03,155208.0
AT,2006-05-04,156096.0
AT,2006-05-05,153478.0
AT,2006-05-06,133095.0
AT,2006-05-07,120064.0
AT,2006-05-08,150830.0
AT,2006-05-09,156229.0
AT,2006-05-10,156370.0
AT,2006-05-11,155057.0
AT,2006-05-12,151925.0
AT,2006-05-13,132156.0
AT,2006-05-14,120445.0
AT,2006-05-15,151986.0
AT,2006-05-16,155855.0
AT,2006-05-17,154426.0
AT,2006-05-18,154191.0
AT,2006-05-19,151771.0
AT,2006-05-20,130694.0
AT,2006-05-21,118806.0
AT,2006-05-22,150556.0
AT,2006-05-23,153792.0
AT,2006-05-24,154036.0
AT,2006-05-25,121970.0
AT,2006-05-26,137335.0
AT,2006-05-27,127543.0
AT,2006-05-28,118209.0
AT,2006-05-29,151944.0
AT,2006-05-30,156310.0
AT,2006-05-31,156208.0
AT,2006-06-01,157259.0
