monthlySumMWh,country,date
6339209.0,AT,2012-01-31
6346701.0,AT,2012-02-29
6045101.0,AT,2012-03-31
5426653.0,AT,2012-04-30
5394227.0,AT,2012-05-31
5310995.0,AT,2012-06-30
5463836.0,AT,2012-07-31
5384284.0,AT,2012-08-31
5372504.0,AT,2012-09-30
5813925.0,AT,2012-10-31
5915446.0,AT,2012-11-30
6300696.0,AT,2012-12-31
6525994.0,AT,2013-01-31
5964179.0,AT,2013-02-28
6256306.0,AT,2013-03-31
5577684.0,AT,2013-04-30
5384194.0,AT,2013-05-31
5328502.0,AT,2013-06-30
5505866.0,AT,2013-07-31
5331105.0,AT,2013-08-31
5417149.0,AT,2013-09-30
5884293.0,AT,2013-10-31
6038589.0,AT,2013-11-30
6252099.0,AT,2013-12-31
6366584.0,AT,2014-01-31
5768126.0,AT,2014-02-28
5964031.0,AT,2014-03-31
5480705.0,AT,2014-04-30
5493449.0,AT,2014-05-31
5269402.0,AT,2014-06-30
5526486.0,AT,2014-07-31
5314006.0,AT,2014-08-31
5497371.0,AT,2014-09-30
5830123.0,AT,2014-10-31
5842719.0,AT,2014-11-30
6219880.0,AT,2014-12-31
6478586.0,AT,2015-01-31
5976222.0,AT,2015-02-28
6194012.0,AT,2015-03-31
5531955.0,AT,2015-04-30
5457663.0,AT,2015-05-31
5367363.0,AT,2015-06-30
5578448.0,AT,2015-07-31
5427943.0,AT,2015-08-31
5500054.0,AT,2015-09-30
5882710.0,AT,2015-10-31
5995439.0,AT,2015-11-30
6221860.0,AT,2015-12-31
6536280.0,AT,2016-01-31
6036009.0,AT,2016-02-29
6221061.0,AT,2016-03-31
5485494.0,AT,2016-04-30
5452655.0,AT,2016-05-31
5462967.0,AT,2016-06-30
5486842.0,AT,2016-07-31
5355275.0,AT,2016-08-31
5464576.0,AT,2016-09-30
5913615.0,AT,2016-10-31
6247230.0,AT,2016-11-30
6540207.0,AT,2016-12-31
7014637.0,AT,2017-01-31
6012790.0,AT,2017-02-28
6145113.0,AT,2017-03-31
5534917.0,AT,2017-04-30
5500787.0,AT,2017-05-31
5400506.0,AT,2017-06-30
5536734.0,AT,2017-07-31
5517427.0,AT,2017-08-31
5639533.0,AT,2017-09-30
5836780.0,AT,2017-10-31
6313417.0,AT,2017-11-30
6530336.0,AT,2017-12-31
6607770.0,AT,2018-01-31
6255746.0,AT,2018-02-28
6613399.0,AT,2018-03-31
5478308.0,AT,2018-04-30
5552446.0,AT,2018-05-31
5506986.0,AT,2018-06-30
5538634.0,AT,2018-07-31
5539658.0,AT,2018-08-31
5454483.0,AT,2018-09-30
5919559.0,AT,2018-10-31
6201926.0,AT,2018-11-30
6563722.0,AT,2018-12-31
6917603.0,AT,2019-01-31
6009089.0,AT,2019-02-28
6211354.0,AT,2019-03-31
5652647.0,AT,2019-04-30
5754458.0,AT,2019-05-31
5442008.0,AT,2019-06-30
5662021.0,AT,2019-07-31
5495199.0,AT,2019-08-31
1129817.0,BA,2006-01-31
973430.0,BA,2006-02-28
1021514.0,BA,2006-03-31
888461.0,BA,2006-04-30
874512.0,BA,2006-05-31
859417.0,BA,2006-06-30
875510.0,BA,2006-07-31
876382.0,BA,2006-08-31
864418.0,BA,2006-09-30
